Wave;M1;M2;M3;M4
190;603,42;617,14;451,66;379,4
205;373,69;447,81;279,72;226,18
220;211,84;286,77;178,51;142,87
235;117,4;173,68;103,5;79,63
250;107,18;159,84;96,3;76,41
265;126,6;186,58;123,25;102,57
280;108,64;166,13;111,55;90,15
295;68,27;109,43;68,95;54,8
310;55,64;88,95;56,78;47,51
325;52,6;84,79;55,9;47,52
340;46,24;76,83;50,8;42,69
355;38,02;66,89;43,24;34,79
370;28,94;55,86;34,14;25,47
385;19,51;43,57;24,22;16,15
400;13,24;34,21;16,69;10,03
415;9,38;27,48;11,68;6,41
430;6,52;22,19;7,88;3,78
445;5,09;18,87;5,8;2,4
460;3,96;16,76;4,56;2,01
475;3,22;14,85;3,4;0,81
490;2,89;14,13;3,16;1,02
505;2,66;13,35;2,81;1,19
520;2,48;12,94;3,03;1,27
535;2,7;12,4;2,6;1,02
550;2,1;11,25;2,11;0,52
565;2,2;11,36;2,5;0,93
580;1,94;10,6;1,98;0,16
595;1,55;9,72;1,76;0,6
610;1,23;9,28;1,61;0,23
625;1,67;9,64;2,06;0,32
640;0,96;8,4;1,45;0,01
655;1,24;9,18;1,91;0,39
670;1,58;8,45;1,75;0,43
685;0,72;7,3;0,64;0
700;0,53;6,85;0,91;0,05
715;1,26;7,83;1,86;0,95
730;1,01;7,19;0,95;0
745;1,36;6,96;0,93;0,13
760;0,04;5,82;0,54;0
850;2,31;6,74;1,85;1,64
